array_id,superIterationCount,numberOfCells,worldSize,gridSize,wbK,kappa,homotypicInhibition,heterotypicInhibition,polarityPersistence,polarityTurningCoupling,flowScaling,flowPolarityCoupling,
52,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.575,0.9,4.0,1.1,
53,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.575,0.9,4.0,2.0,
54,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.1,0.5,0.2,
55,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.1,0.5,1.1,
56,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.1,0.5,2.0,
57,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.1,2.25,0.2,
58,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.1,2.25,1.1,
59,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.1,2.25,2.0,
60,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.1,4.0,0.2,
61,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.1,4.0,1.1,
62,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.1,4.0,2.0,
63,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.5,0.5,0.2,
64,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.5,0.5,1.1,
65,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.5,0.5,2.0,
66,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.5,2.25,0.2,
67,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.5,2.25,1.1,
68,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.5,2.25,2.0,
69,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.5,4.0,0.2,
70,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.5,4.0,1.1,
71,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.5,4.0,2.0,
72,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.9,0.5,0.2,
73,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.9,0.5,1.1,
74,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.9,0.5,2.0,
75,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.9,2.25,0.2,
76,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.9,2.25,1.1,
77,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.9,2.25,2.0,
78,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.9,4.0,0.2,
79,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.9,4.0,1.1,
80,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.8,0.95,0.9,4.0,2.0,
81,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.1,0.5,0.2,
82,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.1,0.5,1.1,
83,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.1,0.5,2.0,
84,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.1,2.25,0.2,
85,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.1,2.25,1.1,
86,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.1,2.25,2.0,
87,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.1,4.0,0.2,
88,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.1,4.0,1.1,
89,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.1,4.0,2.0,
90,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.5,0.5,0.2,
91,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.5,0.5,1.1,
92,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.5,0.5,2.0,
93,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.5,2.25,0.2,
94,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.5,2.25,1.1,
95,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.5,2.25,2.0,
96,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.5,4.0,0.2,
97,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.5,4.0,1.1,
98,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.5,4.0,2.0,
99,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.9,0.5,0.2,
100,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.9,0.5,1.1,
101,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.9,0.5,2.0,
102,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.9,2.25,0.2,
103,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.9,2.25,1.1,
104,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.9,2.25,2.0,
105,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.9,4.0,0.2,
106,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.9,4.0,1.1,
107,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.2,0.9,4.0,2.0,
